{'flv': {'tm': 1652532645041929207, 'dt': 0.079111, 'sns': [100, 0, 0, 1, 100], 'sp': 18, 'tn': -0.3}, 'lp': {'dt': 0.079111, 'err': 0, 'o': 0.0, 'po': 0.0, 'io': 0.0, 'do': 0}, 'rp': {'dt': 0.079111, 'err': -1, 'o': -0.3, 'po': -0.3, 'io': -0.0, 'do': 0}}
{'flv': {'tm': 1652532645044357769, 'dt': 2.48082, 'sns': [100, 0, 0, 1, 100], 'sp': 18, 'tn': -0.3}, 'lp': {'dt': 2.48082, 'err': 0, 'o': 0.0, 'po': 0.0, 'io': 0.0, 'do': 0.0}, 'rp': {'dt': 2.48082, 'err': -1, 'o': -0.3, 'po': -0.3, 'io': -0.0, 'do': 0.0}}
{'flv': {'tm': 1652532645046941070, 'dt': 2.424914, 'sns': [100, 0, 0, 1, 100], 'sp': 18, 'tn': -0.3}, 'lp': {'dt': 2.424914, 'err': 0, 'o': 0.0, 'po': 0.0, 'io': 0.0, 'do': 0.0}, 'rp': {'dt': 2.424914, 'err': -1, 'o': -0.3, 'po': -0.3, 'io': -0.0, 'do': 0.0}}
{'flv': {'tm': 1652532645049551001, 'dt': 2.583727, 'sns': [100, 0, 0, 1, 100], 'sp': 18, 'tn': -0.3}, 'lp': {'dt': 2.583727, 'err': 0, 'o': 0.0, 'po': 0.0, 'io': 0.0, 'do': 0.0}, 'rp': {'dt': 2.583727, 'err': -1, 'o': -0.3, 'po': -0.3, 'io': -0.0, 'do': 0.0}}
{'flv': {'tm': 1652532645052216914, 'dt': 2.609431, 'sns': [100, 0, 0, 1, 100], 'sp': 18, 'tn': -0.3}, 'lp': {'dt': 2.609431, 'err': 0, 'o': 0.0, 'po': 0.0, 'io': 0.0, 'do': 0.0}, 'rp': {'dt': 2.609431, 'err': -1, 'o': -0.3, 'po': -0.3, 'io': -0.0, 'do': 0.0}}
{'flv': {'tm': 1652532645054813622, 'dt': 2.666505, 'sns': [100, 0, 0, 0, 100], 'sp': 18, 'tn': 0}, 'lp': {'dt': 2.666505, 'err': 0, 'o': 0.0, 'po': 0.0, 'io': 0.0, 'do': 0.0}, 'rp': {'dt': 2.666505, 'err': 0, 'o': 7.500454715067101, 'po': 0.0, 'io': 0.0, 'do': 7.500454715067101}}
{'flv': {'tm': 1652532645057369350, 'dt': 2.59569, 'sns': [100, 0, 0, 0, 100], 'sp': 18, 'tn': 0}, 'lp': {'dt': 2.59569, 'err': 0, 'o': 0.0, 'po': 0.0, 'io': 0.0, 'do': 0.0}, 'rp': {'dt': 2.59569, 'err': 0, 'o': 0.0, 'po': 0.0, 'io': 0.0, 'do': 0.0}}
{'flv': {'tm': 1652532645059931503, 'dt': 2.554654, 'sns': [100, 0, 0, 0, 100], 'sp': 18, 'tn': 0}, 'lp': {'dt': 2.554654, 'err': 0, 'o': 0.0, 'po': 0.0, 'io': 0.0, 'do': 0.0}, 'rp': {'dt': 2.554654, 'err': 0, 'o': 0.0, 'po': 0.0, 'io': 0.0, 'do': 0.0}}
{'flv': {'tm': 1652532645062506805, 'dt': 2.561949, 'sns': [100, 0, 0, 0, 100], 'sp': 18, 'tn': 0}, 'lp': {'dt': 2.561949, 'err': 0, 'o': 0.0, 'po': 0.0, 'io': 0.0, 'do': 0.0}, 'rp': {'dt': 2.561949, 'err': 0, 'o': 0.0, 'po': 0.0, 'io': 0.0, 'do': 0.0}}
{'flv': {'tm': 1652532645065110792, 'dt': 2.576932, 'sns': [100, 0, 0, 0, 99], 'sp': 18, 'tn': 0}, 'lp': {'dt': 2.576932, 'err': 0, 'o': 0.0, 'po': 0.0, 'io': 0.0, 'do': 0.0}, 'rp': {'dt': 2.576932, 'err': 0, 'o': 0.0, 'po': 0.0, 'io': 0.0, 'do': 0.0}}
{'flv': {'tm': 1652532645067664482, 'dt': 2.603468, 'sns': [100, 0, 0, 0, 99], 'sp': 18, 'tn': 0}, 'lp': {'dt': 2.603468, 'err': 0, 'o': 0.0, 'po': 0.0, 'io': 0.0, 'do': 0.0}, 'rp': {'dt': 2.603468, 'err': 0, 'o': 0.0, 'po': 0.0, 'io': 0.0, 'do': 0.0}}
{'flv': {'tm': 1652532645070210821, 'dt': 2.552468, 'sns': [100, 0, 0, 0, 99], 'sp': 18, 'tn': 0}, 'lp': {'dt': 2.552468, 'err': 0, 'o': 0.0, 'po': 0.0, 'io': 0.0, 'do': 0.0}, 'rp': {'dt': 2.552468, 'err': 0, 'o': 0.0, 'po': 0.0, 'io': 0.0, 'do': 0.0}}
{'flv': {'tm': 1652532645072825641, 'dt': 2.546283, 'sns': [100, 0, 0, 0, 98], 'sp': 18, 'tn': 0}, 'lp': {'dt': 2.546283, 'err': 0, 'o': 0.0, 'po': 0.0, 'io': 0.0, 'do': 0.0}, 'rp': {'dt': 2.546283, 'err': 0, 'o': 0.0, 'po': 0.0, 'io': 0.0, 'do': 0.0}}
{'flv': {'tm': 1652532645075413072, 'dt': 2.618838, 'sns': [100, 0, 0, 0, 97], 'sp': 18, 'tn': 0}, 'lp': {'dt': 2.618838, 'err': 0, 'o': 0.0, 'po': 0.0, 'io': 0.0, 'do': 0.0}, 'rp': {'dt': 2.618838, 'err': 0, 'o': 0.0, 'po': 0.0, 'io': 0.0, 'do': 0.0}}
{'flv': {'tm': 1652532645077974762, 'dt': 2.585709, 'sns': [100, 0, 0, 0, 96], 'sp': 18, 'tn': 0}, 'lp': {'dt': 2.585709, 'err': 0, 'o': 0.0, 'po': 0.0, 'io': 0.0, 'do': 0.0}, 'rp': {'dt': 2.585709, 'err': 0, 'o': 0.0, 'po': 0.0, 'io': 0.0, 'do': 0.0}}
{'flv': {'tm': 1652532645080510675, 'dt': 2.561265, 'sns': [100, 0, 0, 0, 95], 'sp': 18, 'tn': 0}, 'lp': {'dt': 2.561265, 'err': 0, 'o': 0.0, 'po': 0.0, 'io': 0.0, 'do': 0.0}, 'rp': {'dt': 2.561265, 'err': 0, 'o': 0.0, 'po': 0.0, 'io': 0.0, 'do': 0.0}}
