{'flv': {'dt': 0, 'sns': [783, 296, 288, 276, 270], 'sp': 0, 'tn': 9.299999999999999}, 'lp': {'dt': 0, 'err': -31, 'o': -9.299999999999999, 'po': -9.299999999999999, 'io': 0.0, 'do': 0}, 'rp': {'dt': 0, 'err': -29, 'o': -8.7, 'po': -8.7, 'io': 0.0, 'do': 0}}
{'flv': {'dt': 1, 'sns': [783, 273, 272, 263, 660], 'sp': 0, 'tn': -0.8839999999999999}, 'lp': {'dt': 1, 'err': -8, 'o': 4.507999999999999, 'po': -2.4, 'io': 0.008, 'do': 6.8999999999999995}, 'rp': {'dt': 1, 'err': -16, 'o': -0.8839999999999999, 'po': -4.8, 'io': 0.016, 'do': 3.9}}
{'flv': {'dt': 1, 'sns': [783, 281, 272, 264, 660], 'sp': 0, 'tn': 7.208}, 'lp': {'dt': 1, 'err': -16, 'o': -7.208, 'po': -4.8, 'io': -0.008, 'do': -2.4}, 'rp': {'dt': 1, 'err': -17, 'o': -5.401, 'po': -5.1, 'io': -0.001, 'do': -0.3}}
{'flv': {'dt': 1, 'sns': [783, 272, 276, 265, 660], 'sp': 0, 'tn': -5.718999999999999}, 'lp': {'dt': 1, 'err': -7, 'o': 0.5989999999999998, 'po': -2.1, 'io': -0.001, 'do': 2.6999999999999997}, 'rp': {'dt': 1, 'err': -18, 'o': -5.718999999999999, 'po': -5.3999999999999995, 'io': -0.019, 'do': -0.3}}
{'flv': {'dt': 1, 'sns': [783, 270, 272, 262, 660], 'sp': 0, 'tn': -3.6039999999999996}, 'lp': {'dt': 1, 'err': -5, 'o': -0.896, 'po': -1.5, 'io': 0.004, 'do': 0.6}, 'rp': {'dt': 1, 'err': -15, 'o': -3.6039999999999996, 'po': -4.5, 'io': -0.004, 'do': 0.8999999999999999}}
{'flv': {'dt': 1, 'sns': [783, 274, 272, 264, 660], 'sp': 0, 'tn': -5.720999999999999}, 'lp': {'dt': 1, 'err': -9, 'o': -3.9049999999999994, 'po': -2.6999999999999997, 'io': -0.005, 'do': -1.2}, 'rp': {'dt': 1, 'err': -17, 'o': -5.720999999999999, 'po': -5.1, 'io': -0.021, 'do': -0.6}}
{'flv': {'dt': 1, 'sns': [783, 296, 288, 255, 660], 'sp': 0, 'tn': 15.935999999999998}, 'lp': {'dt': 1, 'err': -31, 'o': -15.935999999999998, 'po': -9.299999999999999, 'io': -0.036000000000000004, 'do': -6.6}, 'rp': {'dt': 1, 'err': -8, 'o': 0.2869999999999999, 'po': -2.4, 'io': -0.013000000000000001, 'do': 2.6999999999999997}}
{'flv': {'dt': 1, 'sns': [783, 292, 279, 265, 660], 'sp': 0, 'tn': -8.431}, 'lp': {'dt': 1, 'err': -27, 'o': -6.909, 'po': -8.1, 'io': -0.009000000000000001, 'do': 1.2}, 'rp': {'dt': 1, 'err': -18, 'o': -8.431, 'po': -5.3999999999999995, 'io': -0.031, 'do': -3.0}}
{'flv': {'dt': 1, 'sns': [783, 288, 286, 267, 660], 'sp': 0, 'tn': -6.651}, 'lp': {'dt': 1, 'err': -23, 'o': -5.685999999999999, 'po': -6.8999999999999995, 'io': 0.014, 'do': 1.2}, 'rp': {'dt': 1, 'err': -20, 'o': -6.651, 'po': -6.0, 'io': -0.051000000000000004, 'do': -0.6}}
{'flv': {'dt': 1, 'sns': [783, 273, 278, 265, 660], 'sp': 0, 'tn': -4.833}, 'lp': {'dt': 1, 'err': -8, 'o': 2.122, 'po': -2.4, 'io': 0.022, 'do': 4.5}, 'rp': {'dt': 1, 'err': -18, 'o': -4.833, 'po': -5.3999999999999995, 'io': -0.033, 'do': 0.6}}
{'flv': {'dt': 1, 'sns': [783, 284, 286, 274, 650], 'sp': 0, 'tn': -10.86}, 'lp': {'dt': 1, 'err': -19, 'o': -8.997, 'po': -5.7, 'io': 0.003, 'do': -3.3}, 'rp': {'dt': 1, 'err': -27, 'o': -10.86, 'po': -8.1, 'io': -0.06, 'do': -2.6999999999999997}}
{'flv': {'dt': 1, 'sns': [783, 273, 272, 263, 660], 'sp': 0, 'tn': -1.5439999999999996}, 'lp': {'dt': 1, 'err': -8, 'o': 0.911, 'po': -2.4, 'io': 0.011, 'do': 3.3}, 'rp': {'dt': 1, 'err': -16, 'o': -1.5439999999999996, 'po': -4.8, 'io': -0.044, 'do': 3.3}}
{'flv': {'dt': 1, 'sns': [783, 269, 272, 264, 660], 'sp': 0, 'tn': -5.460999999999999}, 'lp': {'dt': 1, 'err': -4, 'o': 0.014999999999999902, 'po': -1.2, 'io': 0.015, 'do': 1.2}, 'rp': {'dt': 1, 'err': -17, 'o': -5.460999999999999, 'po': -5.1, 'io': -0.061, 'do': -0.3}}
{'flv': {'dt': 1, 'sns': [783, 284, 272, 266, 659], 'sp': 0, 'tn': 10.204}, 'lp': {'dt': 1, 'err': -19, 'o': -10.204, 'po': -5.7, 'io': -0.004, 'do': -4.5}, 'rp': {'dt': 1, 'err': -19, 'o': -6.38, 'po': -5.7, 'io': -0.08, 'do': -0.6}}
{'flv': {'dt': 1, 'sns': [783, 272, 272, 263, 660], 'sp': 0, 'tn': -3.964}, 'lp': {'dt': 1, 'err': -7, 'o': 1.5029999999999997, 'po': -2.1, 'io': 0.003, 'do': 3.5999999999999996}, 'rp': {'dt': 1, 'err': -16, 'o': -3.964, 'po': -4.8, 'io': -0.064, 'do': 0.8999999999999999}}
{'flv': {'dt': 1, 'sns': [783, 275, 272, 263, 660], 'sp': 0, 'tn': -4.88}, 'lp': {'dt': 1, 'err': -10, 'o': -3.907, 'po': -3.0, 'io': -0.007, 'do': -0.8999999999999999}, 'rp': {'dt': 1, 'err': -16, 'o': -4.88, 'po': -4.8, 'io': -0.08, 'do': 0.0}}
{'flv': {'dt': 1, 'sns': [783, 275, 272, 266, 660], 'sp': 0, 'tn': -6.699}, 'lp': {'dt': 1, 'err': -10, 'o': -3.017, 'po': -3.0, 'io': -0.017, 'do': 0.0}, 'rp': {'dt': 1, 'err': -19, 'o': -6.699, 'po': -5.7, 'io': -0.099, 'do': -0.8999999999999999}}
{'flv': {'dt': 1, 'sns': [783, 279, 272, 275, 660], 'sp': 0, 'tn': -11.227}, 'lp': {'dt': 1, 'err': -14, 'o': -5.431, 'po': -4.2, 'io': -0.031, 'do': -1.2}, 'rp': {'dt': 1, 'err': -28, 'o': -11.227, 'po': -8.4, 'io': -0.127, 'do': -2.6999999999999997}}
{'flv': {'dt': 1, 'sns': [783, 276, 272, 265, 660], 'sp': 0, 'tn': -2.5089999999999995}, 'lp': {'dt': 1, 'err': -11, 'o': -2.42, 'po': -3.3, 'io': -0.02, 'do': 0.8999999999999999}, 'rp': {'dt': 1, 'err': -18, 'o': -2.5089999999999995, 'po': -5.3999999999999995, 'io': -0.109, 'do': 3.0}}
{'flv': {'dt': 1, 'sns': [783, 281, 286, 270, 660], 'sp': 0, 'tn': -8.532}, 'lp': {'dt': 1, 'err': -16, 'o': -6.335999999999999, 'po': -4.8, 'io': -0.036000000000000004, 'do': -1.5}, 'rp': {'dt': 1, 'err': -23, 'o': -8.532, 'po': -6.8999999999999995, 'io': -0.132, 'do': -1.5}}
{'flv': {'dt': 1, 'sns': [783, 277, 272, 272, 660], 'sp': 0, 'tn': -8.257}, 'lp': {'dt': 1, 'err': -12, 'o': -2.4239999999999995, 'po': -3.5999999999999996, 'io': -0.024, 'do': 1.2}, 'rp': {'dt': 1, 'err': -25, 'o': -8.257, 'po': -7.5, 'io': -0.157, 'do': -0.6}}
