{'flv': {'tm': 1647180159765611157, 'dt': 0, 'sns': [100, 2, 1, 1, 94], 'sp': 0, 'tn': 0.6}, 'lp': {'dt': 0, 'err': -2, 'o': -0.6, 'po': -0.6, 'io': 0, 'do': 0}, 'rp': {'dt': 0, 'err': -1, 'o': -0.3, 'po': -0.3, 'io': 0, 'do': 0}}
{'flv': {'tm': 1647180159767204730, 'dt': 1, 'sns': [100, 1, 0, 1, 100], 'sp': 0, 'tn': -0.3}, 'lp': {'dt': 1, 'err': -1, 'o': 19.7, 'po': -0.3, 'io': 0, 'do': 20.0}, 'rp': {'dt': 1, 'err': -1, 'o': -0.3, 'po': -0.3, 'io': 0, 'do': 0.0}}
{'flv': {'tm': 1647180159768787635, 'dt': 1, 'sns': [100, 1, 0, 1, 100], 'sp': 0, 'tn': 0.3}, 'lp': {'dt': 1, 'err': -1, 'o': -0.3, 'po': -0.3, 'io': 0, 'do': 0.0}, 'rp': {'dt': 1, 'err': -1, 'o': -0.3, 'po': -0.3, 'io': 0, 'do': 0.0}}
{'flv': {'tm': 1647180159770304486, 'dt': 1, 'sns': [100, 1, 1, 0, 100], 'sp': 0, 'tn': 0.3}, 'lp': {'dt': 1, 'err': -1, 'o': -0.3, 'po': -0.3, 'io': 0, 'do': 0.0}, 'rp': {'dt': 1, 'err': 0, 'o': 20.0, 'po': 0.0, 'io': 0, 'do': 20.0}}
{'flv': {'tm': 1647180159771815189, 'dt': 1, 'sns': [100, 1, 1, 3, 100], 'sp': 0, 'tn': -40}, 'lp': {'dt': 1, 'err': -1, 'o': -0.3, 'po': -0.3, 'io': 0, 'do': 0.0}, 'rp': {'dt': 1, 'err': -3, 'o': -40, 'po': -0.8999999999999999, 'io': 0, 'do': -60.0}}
{'flv': {'tm': 1647180159773312448, 'dt': 1, 'sns': [100, 1, 0, 0, 98], 'sp': 0, 'tn': 0.3}, 'lp': {'dt': 1, 'err': -1, 'o': -0.3, 'po': -0.3, 'io': 0, 'do': 0.0}, 'rp': {'dt': 1, 'err': 0, 'o': 40, 'po': 0.0, 'io': 0, 'do': 60.0}}
{'flv': {'tm': 1647180159774815892, 'dt': 1, 'sns': [100, 0, 0, 1, 100], 'sp': 0, 'tn': -20.3}, 'lp': {'dt': 1, 'err': 0, 'o': 20.0, 'po': 0.0, 'io': 0, 'do': 20.0}, 'rp': {'dt': 1, 'err': -1, 'o': -20.3, 'po': -0.3, 'io': 0, 'do': -20.0}}
{'flv': {'tm': 1647180159776313947, 'dt': 1, 'sns': [100, 0, 1, 1, 98], 'sp': 0, 'tn': -0.3}, 'lp': {'dt': 1, 'err': 0, 'o': 0.0, 'po': 0.0, 'io': 0, 'do': 0.0}, 'rp': {'dt': 1, 'err': -1, 'o': -0.3, 'po': -0.3, 'io': 0, 'do': 0.0}}
{'flv': {'tm': 1647180159777823002, 'dt': 1, 'sns': [100, 0, 0, 1, 98], 'sp': 0, 'tn': -0.3}, 'lp': {'dt': 1, 'err': 0, 'o': 0.0, 'po': 0.0, 'io': 0, 'do': 0.0}, 'rp': {'dt': 1, 'err': -1, 'o': -0.3, 'po': -0.3, 'io': 0, 'do': 0.0}}
{'flv': {'tm': 1647180159779327372, 'dt': 1, 'sns': [100, 0, 0, 1, 100], 'sp': 0, 'tn': -0.3}, 'lp': {'dt': 1, 'err': 0, 'o': 0.0, 'po': 0.0, 'io': 0, 'do': 0.0}, 'rp': {'dt': 1, 'err': -1, 'o': -0.3, 'po': -0.3, 'io': 0, 'do': 0.0}}
{'flv': {'tm': 1647180159780824371, 'dt': 1, 'sns': [100, 0, 0, 1, 100], 'sp': 0, 'tn': -0.3}, 'lp': {'dt': 1, 'err': 0, 'o': 0.0, 'po': 0.0, 'io': 0, 'do': 0.0}, 'rp': {'dt': 1, 'err': -1, 'o': -0.3, 'po': -0.3, 'io': 0, 'do': 0.0}}
{'flv': {'tm': 1647180159782294408, 'dt': 1, 'sns': [100, 2, 1, 1, 100], 'sp': 0, 'tn': 40}, 'lp': {'dt': 1, 'err': -2, 'o': -40, 'po': -0.6, 'io': 0, 'do': -40.0}, 'rp': {'dt': 1, 'err': -1, 'o': -0.3, 'po': -0.3, 'io': 0, 'do': 0.0}}
{'flv': {'tm': 1647180159783776870, 'dt': 1, 'sns': [100, 3, 3, 2, 100], 'sp': 0, 'tn': 20.9}, 'lp': {'dt': 1, 'err': -3, 'o': -20.9, 'po': -0.8999999999999999, 'io': 0, 'do': -20.0}, 'rp': {'dt': 1, 'err': -2, 'o': -20.6, 'po': -0.6, 'io': 0, 'do': -20.0}}
{'flv': {'tm': 1647180159785238944, 'dt': 1, 'sns': [100, 2, 1, 2, 100], 'sp': 0, 'tn': -0.6}, 'lp': {'dt': 1, 'err': -2, 'o': 19.4, 'po': -0.6, 'io': 0, 'do': 20.0}, 'rp': {'dt': 1, 'err': -2, 'o': -0.6, 'po': -0.6, 'io': 0, 'do': 0.0}}
{'flv': {'tm': 1647180159786702592, 'dt': 1, 'sns': [100, 2, 0, 1, 100], 'sp': 0, 'tn': 0.6}, 'lp': {'dt': 1, 'err': -2, 'o': -0.6, 'po': -0.6, 'io': 0, 'do': 0.0}, 'rp': {'dt': 1, 'err': -1, 'o': 19.7, 'po': -0.3, 'io': 0, 'do': 20.0}}
{'flv': {'tm': 1647180159788188240, 'dt': 1, 'sns': [100, 2, 1, 1, 100], 'sp': 0, 'tn': 0.6}, 'lp': {'dt': 1, 'err': -2, 'o': -0.6, 'po': -0.6, 'io': 0, 'do': 0.0}, 'rp': {'dt': 1, 'err': -1, 'o': -0.3, 'po': -0.3, 'io': 0, 'do': 0.0}}
{'flv': {'tm': 1647180159789654759, 'dt': 1, 'sns': [100, 2, 1, 1, 100], 'sp': 0, 'tn': 0.6}, 'lp': {'dt': 1, 'err': -2, 'o': -0.6, 'po': -0.6, 'io': 0, 'do': 0.0}, 'rp': {'dt': 1, 'err': -1, 'o': -0.3, 'po': -0.3, 'io': 0, 'do': 0.0}}
{'flv': {'tm': 1647180159791117536, 'dt': 1, 'sns': [100, 2, 1, 1, 100], 'sp': 0, 'tn': 0.6}, 'lp': {'dt': 1, 'err': -2, 'o': -0.6, 'po': -0.6, 'io': 0, 'do': 0.0}, 'rp': {'dt': 1, 'err': -1, 'o': -0.3, 'po': -0.3, 'io': 0, 'do': 0.0}}
{'flv': {'tm': 1647180159792640091, 'dt': 1, 'sns': [100, 2, 0, 0, 100], 'sp': 0, 'tn': 0.6}, 'lp': {'dt': 1, 'err': -2, 'o': -0.6, 'po': -0.6, 'io': 0, 'do': 0.0}, 'rp': {'dt': 1, 'err': 0, 'o': 20.0, 'po': 0.0, 'io': 0, 'do': 20.0}}
{'flv': {'tm': 1647180159794148257, 'dt': 1, 'sns': [100, 1, 0, 1, 100], 'sp': 0, 'tn': -20.3}, 'lp': {'dt': 1, 'err': -1, 'o': 19.7, 'po': -0.3, 'io': 0, 'do': 20.0}, 'rp': {'dt': 1, 'err': -1, 'o': -20.3, 'po': -0.3, 'io': 0, 'do': -20.0}}
{'flv': {'tm': 1647180159795650404, 'dt': 1, 'sns': [100, 0, 1, 2, 100], 'sp': 0, 'tn': -20.6}, 'lp': {'dt': 1, 'err': 0, 'o': 20.0, 'po': 0.0, 'io': 0, 'do': 20.0}, 'rp': {'dt': 1, 'err': -2, 'o': -20.6, 'po': -0.6, 'io': 0, 'do': -20.0}}
{'flv': {'tm': 1647180159797279161, 'dt': 1, 'sns': [100, 0, 0, 1, 100], 'sp': 14, 'tn': 0}, 'lp': {'dt': 1, 'err': 0, 'o': 0.0, 'po': 0.0, 'io': 0, 'do': 0.0}, 'rp': {'dt': 1, 'err': -1, 'o': 19.7, 'po': -0.3, 'io': 0, 'do': 20.0}}
{'flv': {'tm': 1647180159799010084, 'dt': 1, 'sns': [100, 0, 0, 0, 100], 'sp': 14, 'tn': 0}, 'lp': {'dt': 1, 'err': 0, 'o': 0.0, 'po': 0.0, 'io': 0, 'do': 0.0}, 'rp': {'dt': 1, 'err': 0, 'o': 20.0, 'po': 0.0, 'io': 0, 'do': 20.0}}
