{'dt': 1.166787, 'sns': [241, 246, 265, 259, 241]}
{'dt': 11.968075, 'sns': [241, 246, 265, 259, 241]}
{'dt': 11.744337, 'sns': [241, 246, 265, 260, 241]}
{'dt': 11.709688, 'sns': [241, 246, 265, 259, 241]}
{'dt': 11.693985, 'sns': [241, 246, 265, 259, 241]}
{'dt': 11.708003, 'sns': [241, 246, 265, 260, 241]}
{'dt': 11.71417, 'sns': [241, 246, 265, 259, 241]}
{'dt': 11.688763, 'sns': [241, 246, 265, 259, 241]}
{'dt': 11.684466, 'sns': [241, 246, 264, 259, 241]}
{'dt': 11.691948, 'sns': [241, 246, 265, 259, 241]}
{'dt': 11.679541, 'sns': [241, 246, 265, 259, 241]}
{'dt': 11.676577, 'sns': [241, 246, 265, 259, 241]}
{'dt': 11.683004, 'sns': [241, 246, 265, 259, 241]}
{'dt': 11.681744, 'sns': [241, 246, 265, 259, 241]}
{'dt': 11.680522, 'sns': [241, 246, 265, 260, 241]}
{'dt': 11.682837, 'sns': [241, 246, 265, 259, 241]}
{'dt': 11.683355, 'sns': [241, 246, 265, 260, 241]}
{'dt': 11.679133, 'sns': [241, 246, 265, 259, 241]}
{'dt': 11.688318, 'sns': [241, 246, 265, 259, 241]}
{'dt': 11.695411, 'sns': [241, 246, 265, 260, 241]}
{'dt': 11.68117, 'sns': [241, 246, 265, 259, 241]}
{'dt': 11.682596, 'sns': [241, 246, 265, 259, 241]}
{'dt': 11.675763, 'sns': [241, 246, 265, 259, 241]}
{'dt': 11.683929, 'sns': [241, 246, 265, 259, 241]}
{'dt': 11.67367, 'sns': [242, 246, 265, 259, 241]}
{'dt': 11.682022, 'sns': [241, 246, 265, 259, 241]}
{'dt': 11.699226, 'sns': [241, 246, 265, 259, 241]}
{'dt': 11.682781, 'sns': [241, 246, 264, 259, 241]}
{'dt': 11.681189, 'sns': [241, 246, 265, 259, 241]}
{'dt': 11.683374, 'sns': [241, 246, 265, 259, 241]}
{'dt': 11.678373, 'sns': [241, 246, 265, 259, 241]}
{'dt': 11.698115, 'sns': [241, 246, 265, 259, 241]}
{'dt': 11.6813, 'sns': [241, 245, 264, 259, 241]}
{'dt': 11.676003, 'sns': [241, 246, 264, 259, 241]}
{'dt': 11.682448, 'sns': [241, 246, 265, 259, 241]}
{'dt': 11.683115, 'sns': [241, 246, 265, 259, 241]}
{'dt': 11.683355, 'sns': [241, 246, 265, 259, 241]}
{'dt': 11.678614, 'sns': [241, 246, 264, 259, 241]}
{'dt': 11.67943, 'sns': [241, 246, 265, 259, 241]}
{'dt': 11.677763, 'sns': [241, 246, 264, 259, 241]}
{'dt': 11.680003, 'sns': [241, 246, 265, 260, 241]}
{'dt': 11.677244, 'sns': [241, 246, 265, 259, 241]}
{'dt': 11.673782, 'sns': [241, 246, 265, 259, 241]}
{'dt': 11.685447, 'sns': [241, 246, 265, 259, 241]}
{'dt': 11.680541, 'sns': [241, 246, 264, 259, 241]}
{'dt': 11.678541, 'sns': [241, 246, 265, 260, 241]}
{'dt': 11.680059, 'sns': [241, 246, 265, 259, 241]}
{'dt': 11.709558, 'sns': [241, 246, 265, 259, 241]}
{'dt': 11.688874, 'sns': [241, 246, 265, 259, 241]}
{'dt': 11.703096, 'sns': [241, 245, 264, 259, 241]}
{'dt': 11.683466, 'sns': [241, 246, 265, 260, 241]}
{'dt': 11.684152, 'sns': [241, 246, 265, 259, 241]}
{'dt': 11.768262, 'sns': [241, 246, 265, 259, 241]}
{'dt': 12.60357, 'sns': [241, 246, 265, 260, 241]}
{'dt': 12.624812, 'sns': [241, 246, 265, 259, 241]}
{'dt': 12.610237, 'sns': [241, 246, 265, 259, 241]}
{'dt': 12.590941, 'sns': [241, 246, 265, 260, 241]}
{'dt': 12.567533, 'sns': [241, 246, 265, 259, 241]}
{'dt': 12.629126, 'sns': [241, 246, 265, 260, 241]}
{'dt': 12.620978, 'sns': [241, 246, 265, 259, 241]}
{'dt': 12.724329, 'sns': [241, 246, 265, 260, 241]}
