{'dt': 1.334985, 'sns': [327, 277, 259, 237, 275]}
{'dt': 11.531583, 'sns': [327, 276, 259, 237, 275]}
{'dt': 11.404123, 'sns': [327, 276, 259, 237, 275]}
{'dt': 11.402438, 'sns': [327, 276, 259, 237, 275]}
{'dt': 11.393031, 'sns': [327, 277, 259, 237, 275]}
{'dt': 11.384642, 'sns': [327, 277, 259, 237, 275]}
{'dt': 11.379105, 'sns': [327, 276, 259, 237, 275]}
{'dt': 11.375179, 'sns': [327, 277, 259, 237, 275]}
{'dt': 11.38279, 'sns': [327, 276, 259, 237, 275]}
{'dt': 11.378327, 'sns': [327, 277, 259, 237, 275]}
{'dt': 11.400086, 'sns': [327, 277, 259, 237, 275]}
{'dt': 11.378439, 'sns': [327, 277, 259, 237, 274]}
{'dt': 11.432567, 'sns': [326, 276, 259, 237, 275]}
{'dt': 11.385012, 'sns': [327, 277, 259, 237, 275]}
{'dt': 11.381772, 'sns': [327, 277, 259, 237, 275]}
{'dt': 11.380012, 'sns': [327, 277, 259, 237, 275]}
{'dt': 11.374679, 'sns': [327, 277, 259, 237, 274]}
{'dt': 11.377013, 'sns': [327, 277, 259, 237, 275]}
{'dt': 11.380994, 'sns': [327, 277, 259, 237, 275]}
{'dt': 11.377922, 'sns': [327, 277, 259, 237, 275]}
{'dt': 11.378252, 'sns': [327, 277, 259, 237, 275]}
{'dt': 11.47725, 'sns': [327, 277, 251, 238, 275]}
{'dt': 11.375679, 'sns': [327, 277, 259, 237, 275]}
{'dt': 11.374511, 'sns': [327, 277, 259, 237, 275]}
{'dt': 11.374401, 'sns': [327, 276, 259, 237, 275]}
{'dt': 11.375623, 'sns': [327, 277, 259, 237, 275]}
{'dt': 11.373067, 'sns': [327, 277, 259, 237, 275]}
{'dt': 11.369457, 'sns': [327, 277, 259, 237, 275]}
{'dt': 11.370827, 'sns': [327, 277, 259, 237, 275]}
{'dt': 11.376196, 'sns': [327, 276, 259, 237, 275]}
{'dt': 11.370809, 'sns': [327, 277, 259, 237, 275]}
{'dt': 11.388826, 'sns': [327, 277, 259, 237, 275]}
{'dt': 11.374345, 'sns': [327, 277, 259, 237, 275]}
{'dt': 11.373271, 'sns': [327, 277, 259, 237, 275]}
{'dt': 11.372586, 'sns': [327, 277, 259, 237, 275]}
{'dt': 11.373308, 'sns': [327, 277, 259, 237, 275]}
{'dt': 11.374068, 'sns': [327, 277, 259, 237, 275]}
{'dt': 11.370475, 'sns': [327, 277, 259, 237, 275]}
{'dt': 11.371641, 'sns': [327, 276, 259, 237, 275]}
{'dt': 11.370734, 'sns': [327, 277, 259, 237, 275]}
{'dt': 11.391752, 'sns': [327, 277, 259, 237, 275]}
{'dt': 11.378253, 'sns': [327, 277, 259, 237, 275]}
{'dt': 11.377437, 'sns': [327, 277, 259, 237, 275]}
{'dt': 11.375494, 'sns': [327, 277, 259, 237, 275]}
{'dt': 11.372215, 'sns': [327, 277, 259, 237, 275]}
{'dt': 11.370864, 'sns': [327, 277, 259, 237, 275]}
{'dt': 11.370827, 'sns': [327, 277, 259, 237, 275]}
{'dt': 11.370938, 'sns': [327, 277, 259, 237, 275]}
{'dt': 11.372882, 'sns': [327, 277, 259, 237, 275]}
{'dt': 11.391456, 'sns': [327, 277, 259, 237, 275]}
{'dt': 11.391974, 'sns': [327, 277, 259, 237, 275]}
{'dt': 11.374475, 'sns': [327, 277, 259, 237, 275]}
{'dt': 11.372864, 'sns': [327, 276, 259, 237, 275]}
{'dt': 11.391955, 'sns': [327, 277, 259, 237, 275]}
{'dt': 11.382327, 'sns': [327, 276, 259, 237, 275]}
{'dt': 11.373567, 'sns': [327, 277, 259, 237, 275]}
{'dt': 11.373938, 'sns': [327, 277, 259, 237, 275]}
{'dt': 11.368123, 'sns': [327, 277, 259, 237, 275]}
{'dt': 11.368586, 'sns': [328, 277, 259, 237, 275]}
{'dt': 11.372068, 'sns': [327, 276, 259, 237, 275]}
{'dt': 11.375197, 'sns': [327, 277, 259, 237, 275]}
{'dt': 11.370585, 'sns': [327, 277, 259, 237, 275]}
{'dt': 11.472251, 'sns': [327, 277, 259, 237, 275]}
{'dt': 11.905221, 'sns': [327, 277, 259, 237, 275]}
{'dt': 12.022664, 'sns': [327, 277, 259, 237, 275]}
{'dt': 12.009719, 'sns': [327, 277, 259, 237, 274]}
{'dt': 12.018645, 'sns': [327, 276, 259, 237, 275]}
{'dt': 12.020126, 'sns': [327, 276, 259, 237, 275]}
{'dt': 12.013534, 'sns': [327, 277, 259, 237, 275]}
{'dt': 12.011238, 'sns': [327, 277, 259, 237, 275]}
{'dt': 12.013811, 'sns': [327, 277, 259, 237, 275]}
{'dt': 12.03396, 'sns': [327, 276, 259, 237, 275]}
{'dt': 12.023589, 'sns': [327, 276, 259, 237, 275]}
{'dt': 12.014793, 'sns': [327, 277, 259, 237, 275]}
{'dt': 12.007016, 'sns': [327, 277, 258, 237, 275]}
{'dt': 12.005275, 'sns': [327, 277, 259, 237, 275]}
{'dt': 12.033311, 'sns': [327, 277, 259, 237, 275]}
{'dt': 12.01546, 'sns': [327, 277, 259, 237, 275]}
{'dt': 12.006737, 'sns': [328, 277, 259, 237, 275]}
{'dt': 12.033256, 'sns': [327, 276, 259, 237, 275]}
{'dt': 12.005849, 'sns': [327, 277, 259, 237, 275]}
{'dt': 12.000275, 'sns': [327, 277, 259, 237, 275]}
{'dt': 12.006089, 'sns': [327, 277, 259, 237, 275]}
{'dt': 12.008775, 'sns': [327, 277, 259, 237, 275]}
{'dt': 12.008331, 'sns': [327, 277, 259, 237, 275]}
{'dt': 12.004034, 'sns': [327, 277, 259, 237, 275]}
{'dt': 12.009293, 'sns': [327, 276, 259, 237, 275]}
{'dt': 12.006516, 'sns': [327, 277, 259, 237, 275]}
{'dt': 12.021996, 'sns': [327, 277, 259, 237, 275]}
{'dt': 12.009405, 'sns': [327, 277, 259, 237, 275]}
{'dt': 12.588557, 'sns': [327, 277, 259, 237, 275]}
{'dt': 12.021867, 'sns': [327, 276, 259, 237, 275]}
{'dt': 12.068236, 'sns': [327, 277, 259, 237, 275]}
{'dt': 12.060385, 'sns': [327, 277, 259, 237, 275]}
{'dt': 12.064181, 'sns': [327, 276, 259, 237, 275]}
{'dt': 12.121217, 'sns': [327, 276, 259, 237, 275]}
{'dt': 12.069662, 'sns': [328, 277, 259, 237, 275]}
{'dt': 12.058681, 'sns': [327, 277, 259, 237, 275]}
{'dt': 12.049718, 'sns': [327, 277, 259, 237, 275]}
{'dt': 12.058774, 'sns': [327, 276, 259, 237, 275]}
{'dt': 12.097976, 'sns': [328, 277, 259, 237, 274]}
{'dt': 12.052922, 'sns': [327, 276, 259, 237, 275]}
{'dt': 12.050329, 'sns': [327, 277, 259, 237, 275]}
{'dt': 12.072477, 'sns': [327, 277, 259, 237, 275]}
{'dt': 12.094884, 'sns': [327, 277, 259, 237, 275]}
{'dt': 12.104423, 'sns': [327, 277, 259, 237, 275]}
{'dt': 12.05718, 'sns': [327, 277, 259, 237, 275]}
{'dt': 12.082217, 'sns': [327, 277, 259, 237, 275]}
{'dt': 12.073865, 'sns': [327, 277, 259, 237, 275]}
{'dt': 12.052143, 'sns': [327, 277, 259, 237, 275]}
{'dt': 12.061495, 'sns': [327, 277, 259, 237, 275]}
{'dt': 12.046255, 'sns': [327, 277, 259, 237, 275]}
{'dt': 12.078846, 'sns': [327, 277, 259, 237, 275]}
{'dt': 12.058569, 'sns': [328, 277, 259, 237, 275]}
{'dt': 12.052495, 'sns': [327, 277, 259, 237, 275]}
{'dt': 12.065217, 'sns': [327, 277, 259, 237, 275]}
{'dt': 12.072106, 'sns': [328, 277, 259, 237, 275]}
{'dt': 12.053958, 'sns': [327, 276, 259, 237, 275]}
{'dt': 12.057717, 'sns': [327, 277, 259, 237, 275]}
{'dt': 12.053273, 'sns': [327, 277, 259, 237, 275]}
{'dt': 12.119549, 'sns': [327, 277, 259, 237, 275]}
{'dt': 12.049884, 'sns': [328, 277, 259, 237, 275]}
{'dt': 12.062828, 'sns': [327, 277, 259, 237, 275]}
{'dt': 12.059402, 'sns': [327, 277, 259, 237, 275]}
{'dt': 12.111309, 'sns': [327, 277, 258, 237, 275]}
{'dt': 12.073476, 'sns': [327, 277, 259, 237, 274]}
{'dt': 12.062587, 'sns': [327, 277, 259, 237, 275]}
{'dt': 12.070847, 'sns': [327, 277, 259, 237, 275]}
{'dt': 12.062458, 'sns': [327, 277, 259, 237, 274]}
{'dt': 12.097123, 'sns': [327, 277, 259, 237, 275]}
{'dt': 12.061403, 'sns': [327, 276, 259, 237, 275]}
{'dt': 12.051532, 'sns': [327, 277, 259, 237, 275]}
{'dt': 12.055847, 'sns': [328, 276, 259, 237, 275]}
{'dt': 12.086938, 'sns': [327, 277, 259, 237, 275]}
{'dt': 12.069014, 'sns': [327, 277, 259, 237, 275]}
{'dt': 12.050828, 'sns': [327, 276, 259, 237, 275]}
{'dt': 12.062532, 'sns': [327, 277, 259, 237, 275]}
{'dt': 12.043514, 'sns': [327, 276, 259, 237, 275]}
{'dt': 12.055458, 'sns': [327, 277, 259, 237, 275]}
{'dt': 12.091883, 'sns': [327, 276, 259, 237, 275]}
{'dt': 12.060476, 'sns': [327, 276, 259, 237, 275]}
{'dt': 12.119142, 'sns': [327, 277, 259, 237, 275]}
{'dt': 12.05905, 'sns': [327, 276, 259, 237, 275]}
{'dt': 12.090624, 'sns': [327, 277, 259, 237, 275]}
{'dt': 12.125531, 'sns': [327, 277, 259, 237, 275]}
{'dt': 12.061994, 'sns': [328, 277, 259, 237, 275]}
{'dt': 12.082736, 'sns': [328, 277, 259, 237, 275]}
{'dt': 12.075587, 'sns': [327, 277, 259, 237, 275]}
{'dt': 12.080457, 'sns': [327, 277, 259, 237, 275]}
{'dt': 12.072458, 'sns': [327, 277, 259, 237, 275]}
{'dt': 12.074383, 'sns': [327, 277, 259, 237, 275]}
{'dt': 12.071717, 'sns': [327, 277, 259, 237, 275]}
{'dt': 12.081902, 'sns': [327, 276, 259, 237, 275]}
{'dt': 12.081494, 'sns': [327, 276, 259, 237, 275]}
{'dt': 12.067402, 'sns': [327, 276, 259, 237, 275]}
{'dt': 12.057625, 'sns': [327, 277, 259, 237, 275]}
{'dt': 12.058347, 'sns': [327, 277, 259, 237, 275]}
{'dt': 12.085198, 'sns': [327, 277, 258, 237, 275]}
{'dt': 12.070013, 'sns': [327, 224, 257, 237, 275]}
{'dt': 12.062273, 'sns': [327, 277, 259, 237, 275]}
{'dt': 12.058976, 'sns': [327, 277, 259, 237, 275]}
{'dt': 12.058236, 'sns': [328, 277, 259, 237, 275]}
{'dt': 12.081716, 'sns': [327, 276, 259, 237, 275]}
{'dt': 12.156474, 'sns': [327, 277, 259, 237, 275]}
{'dt': 12.068088, 'sns': [327, 277, 259, 237, 275]}
{'dt': 12.046328, 'sns': [327, 277, 259, 237, 275]}
{'dt': 12.04507, 'sns': [327, 277, 259, 237, 275]}
{'dt': 12.080068, 'sns': [327, 277, 259, 237, 275]}
{'dt': 12.088828, 'sns': [327, 277, 259, 237, 275]}
{'dt': 12.060476, 'sns': [327, 277, 259, 237, 275]}
{'dt': 12.077995, 'sns': [327, 276, 259, 237, 275]}
{'dt': 12.054458, 'sns': [327, 277, 259, 237, 275]}
{'dt': 12.077864, 'sns': [327, 277, 259, 237, 275]}
{'dt': 12.094569, 'sns': [327, 276, 259, 237, 275]}
{'dt': 12.070476, 'sns': [327, 277, 259, 237, 275]}
{'dt': 12.047569, 'sns': [320, 276, 259, 237, 275]}
{'dt': 12.072624, 'sns': [327, 277, 259, 237, 275]}
{'dt': 12.096587, 'sns': [327, 277, 258, 237, 275]}
{'dt': 12.065939, 'sns': [327, 277, 259, 237, 275]}
{'dt': 12.056384, 'sns': [327, 277, 259, 237, 275]}
{'dt': 12.082513, 'sns': [327, 277, 259, 237, 275]}
{'dt': 12.072421, 'sns': [327, 277, 259, 237, 274]}
{'dt': 12.096234, 'sns': [327, 277, 259, 237, 275]}
