{'dt': 1.173577, 'sns': [289, 310, 365, 281, 312]}
{'dt': 11.697928, 'sns': [289, 310, 365, 281, 312]}
{'dt': 11.548467, 'sns': [289, 310, 366, 281, 312]}
{'dt': 11.511912, 'sns': [289, 310, 366, 281, 312]}
{'dt': 11.505208, 'sns': [288, 310, 366, 282, 313]}
{'dt': 11.507393, 'sns': [288, 310, 366, 282, 313]}
{'dt': 11.514042, 'sns': [289, 310, 366, 282, 312]}
{'dt': 11.502263, 'sns': [288, 310, 366, 282, 312]}
{'dt': 11.517264, 'sns': [289, 310, 366, 282, 313]}
{'dt': 11.506189, 'sns': [288, 310, 366, 282, 313]}
{'dt': 11.49382, 'sns': [288, 310, 366, 282, 313]}
{'dt': 11.489115, 'sns': [288, 310, 366, 282, 313]}
{'dt': 11.489357, 'sns': [288, 310, 366, 281, 313]}
{'dt': 11.490745, 'sns': [288, 310, 366, 282, 312]}
{'dt': 11.487875, 'sns': [288, 310, 366, 282, 313]}
{'dt': 11.499264, 'sns': [288, 310, 366, 282, 313]}
{'dt': 11.491412, 'sns': [288, 310, 366, 282, 313]}
{'dt': 11.491912, 'sns': [288, 310, 366, 282, 313]}
{'dt': 11.493986, 'sns': [289, 310, 366, 282, 313]}
{'dt': 11.490467, 'sns': [288, 310, 366, 281, 313]}
{'dt': 11.480801, 'sns': [288, 310, 366, 282, 313]}
{'dt': 11.492634, 'sns': [288, 310, 366, 282, 313]}
{'dt': 11.492042, 'sns': [288, 310, 366, 282, 313]}
{'dt': 11.485393, 'sns': [288, 310, 366, 282, 313]}
{'dt': 11.484561, 'sns': [289, 310, 366, 282, 313]}
{'dt': 11.481708, 'sns': [288, 310, 366, 282, 313]}
{'dt': 11.488819, 'sns': [288, 310, 366, 282, 313]}
{'dt': 11.474505, 'sns': [288, 310, 366, 282, 312]}
{'dt': 11.497356, 'sns': [288, 310, 367, 282, 313]}
{'dt': 11.496672, 'sns': [288, 310, 366, 282, 313]}
{'dt': 11.488264, 'sns': [288, 310, 367, 282, 313]}
{'dt': 11.484986, 'sns': [288, 310, 366, 282, 313]}
{'dt': 11.488819, 'sns': [289, 310, 366, 282, 313]}
{'dt': 11.513467, 'sns': [288, 310, 366, 282, 313]}
{'dt': 11.492208, 'sns': [288, 310, 366, 282, 313]}
{'dt': 11.489709, 'sns': [288, 310, 366, 282, 313]}
{'dt': 11.492319, 'sns': [288, 310, 366, 282, 313]}
{'dt': 11.488931, 'sns': [288, 310, 366, 282, 313]}
{'dt': 11.488578, 'sns': [288, 310, 366, 282, 313]}
{'dt': 11.488172, 'sns': [289, 310, 366, 282, 313]}
{'dt': 11.494578, 'sns': [288, 310, 367, 282, 314]}
{'dt': 11.528652, 'sns': [281, 299, 364, 282, 313]}
{'dt': 11.500227, 'sns': [288, 310, 366, 282, 313]}
{'dt': 11.492079, 'sns': [288, 310, 366, 282, 313]}
{'dt': 11.485134, 'sns': [288, 310, 367, 282, 313]}
{'dt': 11.471171, 'sns': [288, 310, 366, 282, 313]}
{'dt': 11.490838, 'sns': [288, 310, 367, 282, 313]}
{'dt': 11.514838, 'sns': [288, 310, 367, 282, 313]}
{'dt': 11.478505, 'sns': [288, 310, 366, 282, 313]}
{'dt': 11.502726, 'sns': [288, 310, 366, 282, 313]}
{'dt': 11.515653, 'sns': [288, 310, 367, 282, 313]}
{'dt': 11.496689, 'sns': [288, 310, 367, 282, 313]}
{'dt': 11.486931, 'sns': [288, 310, 366, 282, 313]}
{'dt': 11.489282, 'sns': [289, 310, 367, 282, 313]}
{'dt': 11.50006, 'sns': [288, 310, 367, 282, 313]}
{'dt': 11.495653, 'sns': [288, 310, 367, 282, 313]}
{'dt': 11.496078, 'sns': [288, 310, 367, 282, 313]}
{'dt': 11.490301, 'sns': [288, 310, 367, 282, 313]}
{'dt': 11.561282, 'sns': [288, 310, 367, 283, 313]}
{'dt': 12.019924, 'sns': [288, 310, 367, 282, 314]}
{'dt': 12.29205, 'sns': [288, 310, 367, 282, 313]}
{'dt': 12.25731, 'sns': [288, 310, 367, 283, 314]}
{'dt': 12.250772, 'sns': [288, 310, 367, 283, 314]}
{'dt': 12.27094, 'sns': [288, 310, 366, 283, 314]}
{'dt': 12.231199, 'sns': [287, 310, 366, 283, 314]}
{'dt': 12.265754, 'sns': [288, 310, 367, 283, 314]}
{'dt': 12.239347, 'sns': [288, 309, 366, 283, 314]}
{'dt': 12.260995, 'sns': [288, 310, 367, 282, 314]}
{'dt': 12.233995, 'sns': [288, 311, 367, 282, 313]}
{'dt': 12.286606, 'sns': [288, 310, 367, 282, 313]}
{'dt': 12.247644, 'sns': [288, 310, 367, 282, 313]}
{'dt': 12.230922, 'sns': [288, 310, 367, 282, 313]}
{'dt': 12.239514, 'sns': [288, 310, 367, 282, 313]}
{'dt': 12.2312, 'sns': [288, 310, 367, 282, 313]}
{'dt': 12.258366, 'sns': [288, 310, 366, 282, 313]}
