{'dt': 1.16179, 'sns': [721, 665, 735, 598, 609]}
{'dt': 11.52257, 'sns': [722, 665, 736, 597, 609]}
{'dt': 11.4137, 'sns': [721, 664, 735, 598, 608]}
{'dt': 11.381644, 'sns': [722, 665, 735, 598, 608]}
{'dt': 11.382903, 'sns': [721, 665, 735, 598, 608]}
{'dt': 11.386663, 'sns': [722, 664, 735, 598, 608]}
{'dt': 11.371978, 'sns': [721, 664, 735, 598, 608]}
{'dt': 11.373978, 'sns': [721, 664, 736, 597, 608]}
{'dt': 11.368366, 'sns': [721, 665, 736, 597, 608]}
{'dt': 11.368256, 'sns': [721, 664, 735, 598, 609]}
{'dt': 11.364126, 'sns': [722, 665, 736, 597, 608]}
{'dt': 11.367885, 'sns': [722, 664, 735, 599, 609]}
{'dt': 11.3772, 'sns': [721, 665, 736, 597, 608]}
{'dt': 11.373422, 'sns': [721, 665, 736, 598, 608]}
{'dt': 11.370033, 'sns': [721, 665, 736, 597, 608]}
{'dt': 11.367181, 'sns': [722, 665, 736, 598, 608]}
{'dt': 11.365404, 'sns': [721, 664, 736, 593, 609]}
{'dt': 11.3692, 'sns': [722, 665, 736, 598, 608]}
{'dt': 11.365681, 'sns': [722, 665, 735, 598, 607]}
{'dt': 11.372978, 'sns': [721, 665, 735, 598, 609]}
{'dt': 11.374644, 'sns': [721, 665, 736, 597, 609]}
{'dt': 11.363589, 'sns': [722, 665, 736, 598, 609]}
{'dt': 11.359959, 'sns': [721, 665, 736, 598, 608]}
{'dt': 11.359793, 'sns': [722, 665, 736, 597, 608]}
{'dt': 11.363885, 'sns': [722, 665, 736, 598, 608]}
{'dt': 11.360978, 'sns': [722, 664, 736, 598, 609]}
{'dt': 11.358311, 'sns': [722, 665, 736, 597, 608]}
{'dt': 11.356904, 'sns': [722, 665, 736, 598, 608]}
{'dt': 11.357607, 'sns': [722, 665, 736, 597, 609]}
{'dt': 11.360015, 'sns': [722, 665, 736, 597, 608]}
{'dt': 11.361829, 'sns': [721, 665, 736, 597, 609]}
{'dt': 11.357867, 'sns': [722, 665, 736, 598, 608]}
{'dt': 11.356978, 'sns': [721, 665, 735, 598, 608]}
{'dt': 11.374478, 'sns': [721, 665, 736, 598, 609]}
{'dt': 11.358588, 'sns': [722, 664, 736, 598, 608]}
{'dt': 11.372219, 'sns': [722, 665, 736, 594, 608]}
{'dt': 11.364552, 'sns': [722, 665, 735, 599, 608]}
{'dt': 11.358163, 'sns': [722, 665, 736, 597, 608]}
{'dt': 11.352033, 'sns': [722, 665, 736, 598, 608]}
{'dt': 11.353533, 'sns': [721, 665, 736, 597, 609]}
{'dt': 11.358645, 'sns': [722, 665, 736, 597, 608]}
{'dt': 11.359218, 'sns': [721, 665, 736, 598, 608]}
{'dt': 11.357848, 'sns': [722, 665, 735, 598, 609]}
{'dt': 11.353904, 'sns': [721, 665, 736, 597, 609]}
{'dt': 11.357385, 'sns': [722, 665, 736, 598, 609]}
{'dt': 11.354774, 'sns': [722, 665, 735, 599, 608]}
{'dt': 11.358311, 'sns': [722, 665, 735, 598, 608]}
{'dt': 11.374774, 'sns': [721, 665, 735, 598, 608]}
{'dt': 11.356645, 'sns': [721, 665, 736, 597, 609]}
{'dt': 11.370885, 'sns': [721, 665, 736, 597, 608]}
{'dt': 11.360737, 'sns': [721, 665, 736, 597, 608]}
{'dt': 11.357941, 'sns': [722, 665, 736, 597, 608]}
{'dt': 11.362755, 'sns': [722, 665, 736, 598, 609]}
{'dt': 11.354867, 'sns': [721, 665, 736, 597, 608]}
{'dt': 11.355496, 'sns': [722, 665, 736, 598, 608]}
{'dt': 11.354737, 'sns': [721, 665, 736, 597, 608]}
{'dt': 11.376922, 'sns': [721, 665, 736, 598, 608]}
{'dt': 11.365441, 'sns': [721, 664, 736, 598, 609]}
{'dt': 11.359737, 'sns': [718, 664, 735, 598, 608]}
{'dt': 11.355478, 'sns': [721, 665, 736, 598, 608]}
{'dt': 11.355033, 'sns': [721, 665, 736, 598, 608]}
{'dt': 11.461236, 'sns': [722, 665, 736, 597, 608]}
{'dt': 11.856068, 'sns': [722, 665, 736, 597, 608]}
{'dt': 12.046641, 'sns': [722, 665, 736, 597, 609]}
{'dt': 11.993234, 'sns': [722, 665, 735, 598, 609]}
{'dt': 11.980104, 'sns': [722, 665, 736, 597, 608]}
{'dt': 11.976048, 'sns': [722, 665, 736, 598, 608]}
{'dt': 11.964975, 'sns': [722, 665, 736, 597, 609]}
{'dt': 12.007919, 'sns': [722, 665, 736, 597, 608]}
{'dt': 11.966937, 'sns': [722, 665, 736, 597, 608]}
{'dt': 12.000493, 'sns': [722, 665, 735, 598, 608]}
{'dt': 11.97053, 'sns': [722, 665, 736, 597, 608]}
{'dt': 11.971679, 'sns': [722, 664, 736, 598, 608]}
{'dt': 12.066622, 'sns': [722, 665, 736, 597, 607]}
{'dt': 12.002567, 'sns': [722, 665, 708, 597, 608]}
{'dt': 12.004604, 'sns': [722, 665, 736, 598, 609]}
{'dt': 11.973993, 'sns': [722, 665, 736, 598, 608]}
{'dt': 11.972215, 'sns': [722, 665, 736, 597, 608]}
{'dt': 12.004493, 'sns': [722, 665, 736, 597, 608]}
{'dt': 11.969475, 'sns': [722, 665, 736, 597, 608]}
{'dt': 11.974641, 'sns': [722, 665, 736, 595, 608]}
{'dt': 11.978734, 'sns': [722, 665, 737, 598, 608]}
{'dt': 11.959919, 'sns': [722, 665, 736, 597, 608]}
{'dt': 11.961641, 'sns': [722, 665, 736, 597, 608]}
{'dt': 11.975363, 'sns': [722, 665, 736, 597, 609]}
{'dt': 11.96016, 'sns': [722, 665, 736, 598, 609]}
{'dt': 11.962049, 'sns': [722, 665, 736, 598, 608]}
{'dt': 11.971067, 'sns': [722, 665, 735, 598, 608]}
{'dt': 12.003863, 'sns': [722, 665, 736, 597, 608]}
{'dt': 11.978771, 'sns': [722, 665, 736, 598, 609]}
{'dt': 11.969771, 'sns': [722, 665, 736, 597, 609]}
{'dt': 11.969456, 'sns': [722, 665, 736, 598, 609]}
{'dt': 11.976048, 'sns': [722, 665, 735, 598, 609]}
{'dt': 11.962197, 'sns': [722, 665, 736, 595, 608]}
{'dt': 11.976438, 'sns': [722, 665, 736, 597, 608]}
{'dt': 11.995678, 'sns': [722, 665, 736, 597, 609]}
{'dt': 12.013956, 'sns': [722, 665, 736, 598, 608]}
{'dt': 11.977845, 'sns': [722, 665, 736, 597, 608]}
{'dt': 11.999548, 'sns': [722, 664, 736, 597, 609]}
{'dt': 11.983937, 'sns': [722, 665, 736, 598, 609]}
{'dt': 11.989216, 'sns': [722, 665, 736, 598, 608]}
{'dt': 11.977604, 'sns': [722, 665, 736, 598, 608]}
{'dt': 11.968123, 'sns': [722, 665, 736, 598, 609]}
{'dt': 12.0164, 'sns': [722, 665, 736, 598, 609]}
{'dt': 11.975493, 'sns': [722, 665, 736, 598, 609]}
{'dt': 11.971363, 'sns': [722, 665, 736, 597, 609]}
{'dt': 11.977975, 'sns': [722, 665, 736, 598, 609]}
{'dt': 11.977771, 'sns': [722, 665, 736, 598, 609]}
{'dt': 11.962307, 'sns': [722, 665, 736, 597, 608]}
{'dt': 11.976938, 'sns': [722, 664, 736, 598, 608]}
{'dt': 11.973456, 'sns': [722, 665, 736, 598, 608]}
{'dt': 11.970808, 'sns': [722, 665, 736, 598, 609]}
{'dt': 11.974974, 'sns': [722, 665, 736, 597, 609]}
{'dt': 11.983901, 'sns': [722, 665, 736, 598, 608]}
{'dt': 11.981548, 'sns': [722, 665, 736, 597, 608]}
{'dt': 11.960679, 'sns': [722, 665, 736, 598, 608]}
{'dt': 12.060122, 'sns': [722, 665, 736, 598, 608]}
{'dt': 12.089511, 'sns': [722, 665, 736, 597, 609]}
{'dt': 12.357269, 'sns': [722, 651, 735, 598, 608]}
{'dt': 12.069289, 'sns': [722, 665, 736, 597, 608]}
{'dt': 12.058863, 'sns': [722, 665, 736, 598, 609]}
{'dt': 12.058103, 'sns': [722, 665, 736, 597, 608]}
{'dt': 12.111104, 'sns': [722, 665, 736, 598, 609]}
{'dt': 12.091159, 'sns': [722, 665, 736, 597, 608]}
{'dt': 12.053752, 'sns': [722, 664, 736, 597, 608]}
{'dt': 12.08427, 'sns': [722, 665, 736, 597, 609]}
{'dt': 12.053622, 'sns': [722, 665, 736, 598, 608]}
{'dt': 12.088733, 'sns': [721, 665, 736, 597, 608]}
{'dt': 12.056956, 'sns': [722, 665, 736, 597, 608]}
{'dt': 12.050826, 'sns': [722, 665, 736, 598, 609]}
{'dt': 12.063752, 'sns': [722, 665, 735, 598, 608]}
{'dt': 12.116196, 'sns': [722, 665, 736, 598, 608]}
{'dt': 12.116566, 'sns': [722, 665, 736, 598, 608]}
{'dt': 12.065789, 'sns': [722, 665, 736, 597, 609]}
{'dt': 12.041493, 'sns': [722, 665, 736, 598, 608]}
{'dt': 12.052178, 'sns': [722, 665, 736, 597, 608]}
{'dt': 12.076196, 'sns': [722, 665, 736, 597, 608]}
{'dt': 12.121936, 'sns': [722, 665, 736, 598, 608]}
{'dt': 12.06866, 'sns': [722, 665, 736, 597, 608]}
{'dt': 12.078863, 'sns': [722, 665, 736, 598, 608]}
{'dt': 12.064011, 'sns': [722, 664, 736, 597, 608]}
{'dt': 12.084918, 'sns': [722, 665, 736, 598, 608]}
{'dt': 12.090418, 'sns': [722, 665, 736, 598, 608]}
{'dt': 12.070697, 'sns': [722, 665, 735, 598, 609]}
{'dt': 12.074918, 'sns': [722, 665, 736, 598, 609]}
{'dt': 12.067456, 'sns': [722, 665, 736, 597, 609]}
{'dt': 12.048714, 'sns': [722, 665, 736, 598, 608]}
{'dt': 12.087974, 'sns': [722, 665, 736, 598, 608]}
