{'dt': 1.17443, 'sns': [790, 732, 860, 668, 683]}
{'dt': 11.574353, 'sns': [790, 732, 861, 668, 683]}
{'dt': 11.399837, 'sns': [790, 732, 860, 668, 684]}
{'dt': 11.383633, 'sns': [790, 732, 860, 668, 684]}
{'dt': 11.386671, 'sns': [790, 732, 860, 668, 684]}
{'dt': 11.39167, 'sns': [790, 733, 860, 668, 683]}
{'dt': 11.394818, 'sns': [790, 733, 860, 668, 683]}
{'dt': 11.383319, 'sns': [790, 732, 860, 668, 684]}
{'dt': 11.400152, 'sns': [790, 732, 860, 668, 683]}
{'dt': 11.389466, 'sns': [789, 732, 861, 668, 684]}
{'dt': 11.38493, 'sns': [789, 732, 860, 668, 683]}
{'dt': 11.370596, 'sns': [790, 733, 860, 668, 684]}
{'dt': 11.380838, 'sns': [790, 733, 861, 668, 683]}
{'dt': 11.386966, 'sns': [790, 732, 860, 668, 683]}
{'dt': 11.370838, 'sns': [790, 732, 861, 668, 683]}
{'dt': 11.389318, 'sns': [790, 732, 860, 668, 683]}
{'dt': 11.387707, 'sns': [790, 732, 860, 668, 684]}
{'dt': 11.379467, 'sns': [790, 733, 861, 668, 684]}
{'dt': 11.378134, 'sns': [790, 733, 861, 668, 684]}
{'dt': 11.377763, 'sns': [790, 732, 861, 668, 684]}
{'dt': 11.378967, 'sns': [790, 732, 861, 668, 683]}
{'dt': 11.377969, 'sns': [790, 732, 860, 668, 684]}
{'dt': 11.375506, 'sns': [790, 732, 860, 668, 683]}
{'dt': 11.378062, 'sns': [790, 732, 860, 668, 683]}
{'dt': 11.373007, 'sns': [790, 732, 860, 668, 683]}
{'dt': 11.374913, 'sns': [790, 732, 860, 668, 683]}
{'dt': 11.375136, 'sns': [790, 732, 861, 668, 684]}
{'dt': 11.371155, 'sns': [790, 732, 861, 668, 684]}
{'dt': 11.371543, 'sns': [790, 732, 860, 668, 684]}
{'dt': 11.386932, 'sns': [790, 732, 860, 668, 684]}
{'dt': 11.374803, 'sns': [790, 732, 860, 668, 684]}
{'dt': 11.375562, 'sns': [790, 732, 860, 668, 683]}
{'dt': 11.37671, 'sns': [790, 732, 860, 668, 683]}
{'dt': 11.398728, 'sns': [790, 732, 860, 668, 683]}
{'dt': 11.376747, 'sns': [790, 732, 860, 668, 684]}
{'dt': 11.375155, 'sns': [790, 732, 860, 668, 684]}
{'dt': 11.375395, 'sns': [790, 732, 861, 668, 683]}
{'dt': 11.416246, 'sns': [790, 732, 860, 668, 683]}
{'dt': 11.381488, 'sns': [790, 733, 860, 668, 683]}
{'dt': 11.378007, 'sns': [790, 732, 860, 668, 683]}
{'dt': 11.376969, 'sns': [790, 732, 860, 668, 683]}
{'dt': 11.380136, 'sns': [790, 732, 860, 668, 683]}
