{'dt': 1.166939, 'sns': [823, 757, 857, 670, 689]}
{'dt': 11.584445, 'sns': [823, 757, 858, 670, 690]}
{'dt': 11.458427, 'sns': [823, 756, 857, 670, 690]}
{'dt': 11.42252, 'sns': [823, 757, 857, 670, 690]}
{'dt': 11.430519, 'sns': [822, 757, 857, 670, 690]}
{'dt': 11.435465, 'sns': [823, 757, 858, 670, 690]}
{'dt': 11.426575, 'sns': [824, 757, 857, 670, 689]}
{'dt': 11.427797, 'sns': [823, 757, 857, 670, 689]}
{'dt': 11.419317, 'sns': [823, 757, 858, 670, 689]}
{'dt': 11.417408, 'sns': [823, 756, 857, 670, 690]}
{'dt': 11.423316, 'sns': [823, 757, 858, 670, 690]}
{'dt': 11.423705, 'sns': [823, 757, 858, 670, 690]}
{'dt': 11.42202, 'sns': [823, 757, 858, 670, 690]}
{'dt': 11.420946, 'sns': [823, 757, 858, 670, 690]}
{'dt': 11.422242, 'sns': [824, 757, 857, 671, 690]}
{'dt': 11.419649, 'sns': [823, 757, 858, 670, 689]}
{'dt': 11.409076, 'sns': [823, 757, 857, 670, 690]}
{'dt': 11.415205, 'sns': [823, 757, 857, 670, 689]}
{'dt': 11.415909, 'sns': [823, 757, 857, 670, 689]}
{'dt': 11.413908, 'sns': [823, 757, 858, 670, 690]}
{'dt': 11.419242, 'sns': [824, 757, 858, 670, 690]}
{'dt': 11.419316, 'sns': [823, 757, 858, 670, 690]}
{'dt': 11.419446, 'sns': [823, 757, 858, 670, 689]}
{'dt': 11.419613, 'sns': [823, 756, 858, 670, 690]}
{'dt': 11.414593, 'sns': [823, 757, 857, 670, 689]}
{'dt': 11.420224, 'sns': [823, 756, 858, 670, 690]}
{'dt': 11.438872, 'sns': [823, 757, 858, 670, 689]}
{'dt': 11.419112, 'sns': [823, 757, 858, 670, 689]}
{'dt': 11.409038, 'sns': [823, 756, 858, 670, 690]}
{'dt': 11.409076, 'sns': [823, 757, 858, 670, 690]}
{'dt': 11.407964, 'sns': [823, 757, 857, 670, 690]}
{'dt': 11.418372, 'sns': [824, 757, 858, 670, 689]}
{'dt': 11.420705, 'sns': [823, 756, 858, 670, 690]}
{'dt': 11.468482, 'sns': [823, 757, 857, 670, 690]}
{'dt': 11.431224, 'sns': [824, 757, 858, 670, 690]}
{'dt': 11.427279, 'sns': [823, 757, 857, 670, 690]}
{'dt': 11.421409, 'sns': [823, 757, 858, 670, 690]}
{'dt': 11.414686, 'sns': [823, 757, 857, 670, 690]}
{'dt': 11.411964, 'sns': [823, 757, 857, 670, 689]}
{'dt': 11.411094, 'sns': [823, 757, 858, 670, 689]}
{'dt': 11.399631, 'sns': [823, 757, 857, 670, 690]}
{'dt': 11.371483, 'sns': [823, 757, 858, 670, 690]}
{'dt': 11.371835, 'sns': [823, 757, 858, 670, 690]}
{'dt': 11.370928, 'sns': [824, 757, 858, 670, 689]}
{'dt': 11.366557, 'sns': [823, 757, 857, 670, 690]}
{'dt': 11.363631, 'sns': [823, 757, 857, 670, 690]}
{'dt': 11.366538, 'sns': [823, 756, 857, 670, 690]}
{'dt': 11.367243, 'sns': [823, 757, 858, 670, 689]}
{'dt': 11.371742, 'sns': [823, 757, 857, 670, 689]}
{'dt': 11.393798, 'sns': [823, 757, 857, 670, 690]}
{'dt': 11.385186, 'sns': [823, 757, 858, 670, 689]}
{'dt': 11.377706, 'sns': [823, 757, 857, 670, 690]}
{'dt': 11.369427, 'sns': [823, 757, 858, 670, 690]}
{'dt': 11.368872, 'sns': [823, 757, 858, 670, 690]}
{'dt': 11.366539, 'sns': [823, 757, 858, 670, 690]}
{'dt': 11.370779, 'sns': [823, 757, 858, 670, 690]}
{'dt': 11.375316, 'sns': [823, 757, 857, 670, 690]}
{'dt': 11.368076, 'sns': [824, 757, 858, 670, 689]}
{'dt': 11.457594, 'sns': [823, 757, 857, 670, 690]}
{'dt': 11.878591, 'sns': [823, 749, 856, 670, 690]}
{'dt': 11.999017, 'sns': [823, 757, 858, 670, 690]}
{'dt': 12.03261, 'sns': [823, 757, 858, 670, 689]}
{'dt': 11.987369, 'sns': [824, 757, 858, 670, 689]}
{'dt': 11.980054, 'sns': [823, 756, 858, 670, 690]}
{'dt': 12.018239, 'sns': [823, 757, 858, 670, 690]}
{'dt': 11.993832, 'sns': [824, 756, 858, 670, 690]}
{'dt': 12.03185, 'sns': [824, 757, 858, 670, 689]}
