{'dt': 1.359914, 'sns': [781, 729, 834, 646, 682]}
{'dt': 2.714198, 'sns': [766, 725, 850, 652, 679]}
{'dt': 2.675828, 'sns': [778, 732, 853, 650, 681]}
{'dt': 2.656643, 'sns': [780, 732, 854, 650, 681]}
{'dt': 2.63744, 'sns': [780, 730, 838, 646, 673]}
{'dt': 2.617625, 'sns': [771, 698, 838, 651, 679]}
{'dt': 2.38146, 'sns': [771, 729, 851, 652, 681]}
{'dt': 2.368201, 'sns': [775, 729, 851, 651, 681]}
{'dt': 2.362998, 'sns': [775, 684, 831, 649, 680]}
{'dt': 2.360109, 'sns': [773, 725, 845, 647, 677]}
{'dt': 2.384719, 'sns': [773, 726, 845, 644, 672]}
{'dt': 2.359702, 'sns': [776, 728, 840, 642, 667]}
{'dt': 2.349516, 'sns': [778, 724, 831, 645, 671]}
{'dt': 2.320035, 'sns': [772, 720, 836, 649, 677]}
{'dt': 2.350664, 'sns': [761, 720, 844, 650, 679]}
{'dt': 2.354109, 'sns': [766, 726, 848, 650, 679]}
{'dt': 2.344498, 'sns': [751, 720, 843, 649, 678]}
{'dt': 2.347812, 'sns': [772, 726, 846, 648, 676]}
{'dt': 2.353794, 'sns': [772, 725, 846, 648, 675]}
{'dt': 2.356331, 'sns': [773, 727, 847, 647, 673]}
{'dt': 2.362757, 'sns': [775, 728, 844, 643, 669]}
{'dt': 2.34622, 'sns': [776, 726, 834, 643, 667]}
{'dt': 2.356349, 'sns': [774, 720, 832, 648, 673]}
{'dt': 2.365017, 'sns': [765, 720, 843, 651, 677]}
{'dt': 2.373201, 'sns': [764, 727, 848, 651, 677]}
{'dt': 2.358942, 'sns': [765, 727, 848, 651, 678]}
{'dt': 2.366331, 'sns': [774, 729, 848, 650, 677]}
{'dt': 2.361868, 'sns': [774, 728, 847, 650, 677]}
{'dt': 2.357016, 'sns': [773, 727, 846, 648, 675]}
{'dt': 2.356053, 'sns': [774, 727, 841, 644, 669]}
{'dt': 2.357461, 'sns': [774, 724, 831, 644, 669]}
{'dt': 2.371553, 'sns': [769, 717, 828, 647, 672]}
{'dt': 2.366645, 'sns': [761, 717, 838, 649, 676]}
{'dt': 2.379516, 'sns': [762, 723, 843, 650, 677]}
{'dt': 2.364646, 'sns': [769, 726, 845, 649, 677]}
{'dt': 2.361127, 'sns': [771, 726, 845, 650, 677]}
{'dt': 2.368701, 'sns': [772, 725, 845, 649, 677]}
{'dt': 2.358554, 'sns': [771, 724, 843, 641, 674]}
{'dt': 2.363886, 'sns': [770, 722, 835, 639, 668]}
{'dt': 2.378331, 'sns': [767, 716, 822, 639, 668]}
{'dt': 2.353516, 'sns': [762, 646, 802, 641, 670]}
{'dt': 2.357757, 'sns': [754, 711, 832, 643, 671]}
{'dt': 2.362238, 'sns': [756, 717, 837, 643, 672]}
{'dt': 2.360331, 'sns': [764, 670, 813, 644, 673]}
{'dt': 2.365868, 'sns': [767, 720, 841, 645, 673]}
{'dt': 2.357961, 'sns': [767, 719, 841, 644, 673]}
{'dt': 2.349812, 'sns': [768, 717, 839, 641, 669]}
{'dt': 2.350776, 'sns': [767, 717, 833, 638, 664]}
{'dt': 2.357108, 'sns': [767, 713, 826, 640, 665]}
{'dt': 2.354646, 'sns': [763, 708, 825, 641, 667]}
{'dt': 2.369627, 'sns': [751, 707, 833, 645, 669]}
{'dt': 2.38285, 'sns': [742, 679, 828, 647, 671]}
{'dt': 2.362849, 'sns': [765, 719, 843, 647, 673]}
{'dt': 2.35385, 'sns': [769, 719, 844, 647, 674]}
{'dt': 2.353868, 'sns': [768, 719, 843, 646, 674]}
{'dt': 2.366645, 'sns': [770, 720, 842, 644, 671]}
{'dt': 2.358109, 'sns': [770, 719, 836, 635, 668]}
{'dt': 2.353275, 'sns': [768, 716, 829, 642, 670]}
{'dt': 2.357554, 'sns': [764, 713, 831, 646, 673]}
{'dt': 2.353423, 'sns': [757, 714, 837, 646, 677]}
{'dt': 2.354165, 'sns': [759, 718, 841, 647, 678]}
{'dt': 2.362497, 'sns': [763, 721, 843, 647, 678]}
{'dt': 2.352479, 'sns': [766, 722, 844, 647, 678]}
{'dt': 2.353794, 'sns': [767, 723, 845, 648, 679]}
{'dt': 2.359702, 'sns': [769, 724, 846, 647, 678]}
{'dt': 2.353886, 'sns': [771, 725, 843, 646, 677]}
{'dt': 2.370109, 'sns': [771, 721, 837, 647, 679]}
{'dt': 2.354312, 'sns': [766, 717, 837, 649, 681]}
{'dt': 2.356535, 'sns': [760, 718, 842, 650, 683]}
{'dt': 2.366923, 'sns': [762, 722, 847, 654, 683]}
{'dt': 2.360739, 'sns': [767, 725, 849, 655, 685]}
{'dt': 2.353534, 'sns': [757, 708, 842, 655, 685]}
{'dt': 2.383794, 'sns': [772, 727, 852, 656, 686]}
{'dt': 2.390016, 'sns': [774, 728, 850, 653, 683]}
{'dt': 2.365201, 'sns': [774, 727, 844, 652, 681]}
{'dt': 2.376998, 'sns': [773, 723, 839, 652, 682]}
{'dt': 2.364127, 'sns': [768, 721, 838, 655, 686]}
{'dt': 2.361979, 'sns': [766, 722, 845, 656, 688]}
{'dt': 2.366127, 'sns': [745, 718, 845, 656, 689]}
{'dt': 2.363294, 'sns': [770, 727, 791, 654, 689]}
{'dt': 2.363035, 'sns': [771, 726, 848, 654, 687]}
{'dt': 2.36359, 'sns': [771, 725, 847, 652, 684]}
{'dt': 2.361664, 'sns': [765, 723, 842, 649, 681]}
{'dt': 2.362609, 'sns': [772, 722, 838, 649, 679]}
{'dt': 2.352534, 'sns': [768, 717, 837, 649, 679]}
