{'flv': {'dt': 0, 'sns': [311, 265, 282, 648, 270], 'sp': 0, 'tn': -100}, 'lp': {'dt': 0, 'err': 0, 'o': 0.0, 'po': 0.0, 'io': 0, 'do': 0}, 'rp': {'dt': 0, 'err': -401, 'o': -100, 'po': -120.3, 'io': 0, 'do': 0}}
{'flv': {'dt': 1, 'sns': [311, 265, 272, 658, 660], 'sp': 0, 'tn': -100}, 'lp': {'dt': 1, 'err': 0, 'o': 0.0, 'po': 0.0, 'io': 0, 'do': 0.0}, 'rp': {'dt': 1, 'err': -411, 'o': -100, 'po': -123.3, 'io': 0, 'do': -3.0}}
{'flv': {'dt': 1, 'sns': [311, 265, 274, 658, 660], 'sp': 0, 'tn': -100}, 'lp': {'dt': 1, 'err': 0, 'o': 0.0, 'po': 0.0, 'io': 0, 'do': 0.0}, 'rp': {'dt': 1, 'err': -411, 'o': -100, 'po': -123.3, 'io': 0, 'do': 0.0}}
{'flv': {'dt': 1, 'sns': [311, 265, 272, 658, 660], 'sp': 0, 'tn': -100}, 'lp': {'dt': 1, 'err': 0, 'o': 0.0, 'po': 0.0, 'io': 0, 'do': 0.0}, 'rp': {'dt': 1, 'err': -411, 'o': -100, 'po': -123.3, 'io': 0, 'do': 0.0}}
{'flv': {'dt': 1, 'sns': [311, 265, 272, 658, 660], 'sp': 0, 'tn': -100}, 'lp': {'dt': 1, 'err': 0, 'o': 0.0, 'po': 0.0, 'io': 0, 'do': 0.0}, 'rp': {'dt': 1, 'err': -411, 'o': -100, 'po': -123.3, 'io': 0, 'do': 0.0}}
{'flv': {'dt': 1, 'sns': [311, 265, 272, 658, 660], 'sp': 0, 'tn': -100}, 'lp': {'dt': 1, 'err': 0, 'o': 0.0, 'po': 0.0, 'io': 0, 'do': 0.0}, 'rp': {'dt': 1, 'err': -411, 'o': -100, 'po': -123.3, 'io': 0, 'do': 0.0}}
{'flv': {'dt': 1, 'sns': [311, 265, 279, 657, 660], 'sp': 0, 'tn': -100}, 'lp': {'dt': 1, 'err': 0, 'o': 0.0, 'po': 0.0, 'io': 0, 'do': 0.0}, 'rp': {'dt': 1, 'err': -410, 'o': -100, 'po': -123.0, 'io': 0, 'do': 0.3}}
{'flv': {'dt': 1, 'sns': [311, 265, 272, 655, 660], 'sp': 0, 'tn': -100}, 'lp': {'dt': 1, 'err': 0, 'o': 0.0, 'po': 0.0, 'io': 0, 'do': 0.0}, 'rp': {'dt': 1, 'err': -408, 'o': -100, 'po': -122.39999999999999, 'io': 0, 'do': 0.6}}
{'flv': {'dt': 1, 'sns': [311, 265, 272, 655, 660], 'sp': 0, 'tn': -100}, 'lp': {'dt': 1, 'err': 0, 'o': 0.0, 'po': 0.0, 'io': 0, 'do': 0.0}, 'rp': {'dt': 1, 'err': -408, 'o': -100, 'po': -122.39999999999999, 'io': 0, 'do': 0.0}}
{'flv': {'dt': 1, 'sns': [311, 265, 272, 654, 660], 'sp': 0, 'tn': -100}, 'lp': {'dt': 1, 'err': 0, 'o': 0.0, 'po': 0.0, 'io': 0, 'do': 0.0}, 'rp': {'dt': 1, 'err': -407, 'o': -100, 'po': -122.1, 'io': 0, 'do': 0.3}}
{'flv': {'dt': 1, 'sns': [311, 265, 272, 656, 660], 'sp': 0, 'tn': -100}, 'lp': {'dt': 1, 'err': 0, 'o': 0.0, 'po': 0.0, 'io': 0, 'do': 0.0}, 'rp': {'dt': 1, 'err': -409, 'o': -100, 'po': -122.69999999999999, 'io': 0, 'do': -0.6}}
{'flv': {'dt': 1, 'sns': [311, 265, 272, 655, 660], 'sp': 0, 'tn': -100}, 'lp': {'dt': 1, 'err': 0, 'o': 0.0, 'po': 0.0, 'io': 0, 'do': 0.0}, 'rp': {'dt': 1, 'err': -408, 'o': -100, 'po': -122.39999999999999, 'io': 0, 'do': 0.3}}
{'flv': {'dt': 1, 'sns': [311, 265, 272, 655, 660], 'sp': 0, 'tn': -100}, 'lp': {'dt': 1, 'err': 0, 'o': 0.0, 'po': 0.0, 'io': 0, 'do': 0.0}, 'rp': {'dt': 1, 'err': -408, 'o': -100, 'po': -122.39999999999999, 'io': 0, 'do': 0.0}}
{'flv': {'dt': 1, 'sns': [311, 265, 272, 658, 660], 'sp': 0, 'tn': -100}, 'lp': {'dt': 1, 'err': 0, 'o': 0.0, 'po': 0.0, 'io': 0, 'do': 0.0}, 'rp': {'dt': 1, 'err': -411, 'o': -100, 'po': -123.3, 'io': 0, 'do': -0.8999999999999999}}
{'flv': {'dt': 1, 'sns': [311, 265, 272, 658, 660], 'sp': 0, 'tn': -100}, 'lp': {'dt': 1, 'err': 0, 'o': 0.0, 'po': 0.0, 'io': 0, 'do': 0.0}, 'rp': {'dt': 1, 'err': -411, 'o': -100, 'po': -123.3, 'io': 0, 'do': 0.0}}
{'flv': {'dt': 1, 'sns': [311, 265, 272, 654, 660], 'sp': 0, 'tn': -100}, 'lp': {'dt': 1, 'err': 0, 'o': 0.0, 'po': 0.0, 'io': 0, 'do': 0.0}, 'rp': {'dt': 1, 'err': -407, 'o': -100, 'po': -122.1, 'io': 0, 'do': 1.2}}
{'flv': {'dt': 1, 'sns': [311, 265, 272, 658, 660], 'sp': 0, 'tn': -100}, 'lp': {'dt': 1, 'err': 0, 'o': 0.0, 'po': 0.0, 'io': 0, 'do': 0.0}, 'rp': {'dt': 1, 'err': -411, 'o': -100, 'po': -123.3, 'io': 0, 'do': -1.2}}
